sku,brand,name,gross_weight,dimension_length,dimension_width,dimension_height,dimension_uom,volume
1001002835-1006185,BOSSARD,HEX SOC HEAD CAP SCREW M1.6x6 1006185 ,1.030,255,255,95,MM,6177.375
1001002835-3055284,BOSSARD,HEX SOC HEAD CAP SCREW M1.6x8 3055284 ,1.030,255,255,95,MM,6177.375
1001002835-1006274,BOSSARD,HEX SOC HEAD CAP SCREW M2x6 1006274 ,1.030,255,255,95,MM,6177.375
1001002835-1006614,BOSSARD,HEX SOC HEAD CAP SCREW M3x8 1006614 ,1.030,255,255,95,MM,6177.375
1001002835-1006630,BOSSARD,HEX SOC HEAD CAP SCREW M3x12 1006630 ,1.030,255,255,95,MM,6177.375
1001002835-1542311,BOSSARD,HEX SOC HEAD CAP SCREW M4x35 1542311 ,1.030,255,255,95,MM,6177.375
1001002835-1007297,BOSSARD,HEX SOC HEAD CAP SCREW M5x50 1007297 ,1.030,255,255,95,MM,6177.375
1001002835-1007971,BOSSARD,HEX SOC HEAD CAP SCREW M8x20 1007971 ,1.030,255,255,95,MM,6177.375
1001002835-1008005,BOSSARD,HEX SOC HEAD CAP SCREW M8x25 1008005 ,1.030,255,255,95,MM,6177.375
1001002835-1008048,BOSSARD,HEX SOC HEAD CAP SCREW M8x40 1008048 ,1.030,255,255,95,MM,6177.375
1001002835-1008935,BOSSARD,HEX SOC HEAD CAP SCREW M12x40 1008935 ,1.030,255,255,95,MM,6177.375
1001002835-1009672,BOSSARD,HEX SOC HEAD CAP SCREW M16x35 1009672 ,1.030,255,255,95,MM,6177.375
1001002835-1324586,BOSSARD,HEX SOC HEAD CAP SCREW M18x60 1324586 ,1.030,255,255,95,MM,6177.375
1001002835-1010336,BOSSARD,HEX SOC HEAD CAP SCREW M20x55 1010336 ,1.030,255,255,95,MM,6177.375
1001002835-1010808,BOSSARD,HEX SOC HEAD CAP SCREW M24x65 1010808 ,1.030,255,255,95,MM,6177.375
1001002835-1011952,BOSSARD,HEX SOC HEAD CAP SCREW M3x8 1011952 ,1.030,255,255,95,MM,6177.375
1001002835-1324764,BOSSARD,HEX SOC HEAD CAP SCREW M3x20 1324764 ,1.030,255,255,95,MM,6177.375
1001002835-1199196,BOSSARD,HEX SOC HEAD CAP SCREW M5x20 1199196 ,1.030,255,255,95,MM,6177.375
1001002835-1199544,BOSSARD,HEX SOC HEAD CAP SCREW M8x25 1199544 ,1.030,255,255,95,MM,6177.375
1001002835-1199625,BOSSARD,HEX SOC HEAD CAP SCREW M10x20 1199625 ,1.030,255,255,95,MM,6177.375
1001002835-1199714,BOSSARD,HEX SOC HEAD CAP SCREW M10x25 1199714 ,1.030,255,255,95,MM,6177.375
1001002835-1199757,BOSSARD,HEX SOC HEAD CAP SCREW M10x35 1199757 ,1.030,255,255,95,MM,6177.375
1001002835-1199765,BOSSARD,HEX SOC HEAD CAP SCREW M10x40 1199765 ,1.030,255,255,95,MM,6177.375
1001002835-3055470,BOSSARD,HEX SOC HEAD CAP SCREW M10x50 3055470 ,1.030,255,255,95,MM,6177.375
1001002835-1199811,BOSSARD,HEX SOC HEAD CAP SCREW M12x20 1199811 ,1.030,255,255,95,MM,6177.375
1001002835-1199846,BOSSARD,HEX SOC HEAD CAP SCREW M12x25 1199846 ,1.030,255,255,95,MM,6177.375
1001002835-1199889,BOSSARD,HEX SOC HEAD CAP SCREW M12x45 1199889 ,1.030,255,255,95,MM,6177.375
1001002835-3055474,BOSSARD,HEX SOC HEAD CAP SCREW M12x60 3055474 ,1.030,255,255,95,MM,6177.375
1001002835-1199927,BOSSARD,HEX SOC HEAD CAP SCREW M14x40 1199927 ,1.030,255,255,95,MM,6177.375
1001002835-1199978,BOSSARD,HEX SOC HEAD CAP SCREW M14x45 1199978 ,1.030,255,255,95,MM,6177.375
1001002835-1199994,BOSSARD,HEX SOC HEAD CAP SCREW M14x50 1199994 ,1.030,255,255,95,MM,6177.375
1001002835-1200151,BOSSARD,HEX SOC HEAD CAP SCREW M16x55 1200151 ,1.030,255,255,95,MM,6177.375
1001002835-1014188,BOSSARD,HEX SOC HEAD CAP SCREW 3/8x1.5 1014188 ,1.030,255,255,95,MM,6177.375
1001002835-1014544,BOSSARD,HEX SOC HEAD CAP SCREW 0.5x1.5 1014544 ,1.030,255,255,95,MM,6177.375
1001002835-1014552,BOSSARD,HEX SOC HEAD CAP SCREW 0.5x1.75 1014552 ,1.030,255,255,95,MM,6177.375
1001002835-1048856,BOSSARD,HEX HEAD SCREW M3x6 1048856,1.030,255,255,95,MM,6177.375
1001002835-1048961,BOSSARD,HEX HEAD SCREW M4x10 1048961,1.030,255,255,95,MM,6177.375
1001002835-1049054,BOSSARD,HEX HEAD SCREW M4x25 1049054,1.030,255,255,95,MM,6177.375
1001002835-1049194,BOSSARD,HEX HEAD SCREW M5x8 1049194,1.030,255,255,95,MM,6177.375
1001002835-1049208,BOSSARD,HEX HEAD SCREW M5x10 1049208,1.030,255,255,95,MM,6177.375
1001002835-1049216,BOSSARD,HEX HEAD SCREW M5x12 1049216,1.030,255,255,95,MM,6177.375
1001002835-1049224,BOSSARD,HEX HEAD SCREW M5x14 1049224,1.030,255,255,95,MM,6177.375
1001002835-1049232,BOSSARD,HEX HEAD SCREW M5x16 1049232,1.030,255,255,95,MM,6177.375
1001002835-1049259,BOSSARD,HEX HEAD SCREW M5x20 1049259,1.030,255,255,95,MM,6177.375
1001002835-1049275,BOSSARD,HEX HEAD SCREW M5x25 1049275,1.030,255,255,95,MM,6177.375
1001002835-1049291,BOSSARD,HEX HEAD SCREW M5x35 1049291,1.030,255,255,95,MM,6177.375
1001002835-1049437,BOSSARD,HEX HEAD SCREW M6x8 1049437,1.030,255,255,95,MM,6177.375
1001002835-1049488,BOSSARD,HEX HEAD SCREW M6x16 1049488,1.030,255,255,95,MM,6177.375
1001002835-1049518,BOSSARD,HEX HEAD SCREW M6x20 1049518,1.030,255,255,95,MM,6177.375
1001002835-1049526,BOSSARD,HEX HEAD SCREW M6x22 1049526,1.030,255,255,95,MM,6177.375
1001002835-1049534,BOSSARD,HEX HEAD SCREW M6x25 1049534,1.030,255,255,95,MM,6177.375
1001002835-1049542,BOSSARD,HEX HEAD SCREW M6x30 1049542,1.030,255,255,95,MM,6177.375
1001002835-1049577,BOSSARD,HEX HEAD SCREW M6x45 1049577,1.030,255,255,95,MM,6177.375
1001002835-1049585,BOSSARD,HEX HEAD SCREW M6x50 1049585,1.030,255,255,95,MM,6177.375
1001002835-1049755,BOSSARD,HEX HEAD SCREW M8x10 1049755,1.030,255,255,95,MM,6177.375
1001002835-1049763,BOSSARD,HEX HEAD SCREW M8x12 1049763,1.030,255,255,95,MM,6177.375
1001002835-1049771,BOSSARD,HEX HEAD SCREW M8x14 1049771,1.030,255,255,95,MM,6177.375
1001002835-1049798,BOSSARD,HEX HEAD SCREW M8x16 1049798,1.030,255,255,95,MM,6177.375
1001002835-1049801,BOSSARD,HEX HEAD SCREW M8x18 1049801,1.030,255,255,95,MM,6177.375
1001002835-1049836,BOSSARD,HEX HEAD SCREW M8x22 1049836,1.030,255,255,95,MM,6177.375
